station_icao,station_name
WAEK,Kuabang Kao
WAEW,Pitu - Morotai
WAFT,Pongtiku - Tana Toraja
WAFY,Pogogul - Buol
WAGK,Beringin - Muara Teweh
WAHQ,Adi Soemarmo - Surakarta
WAPI,Olilit - Saumlaki
WAPL,Dumatubun - Langgur
WAQL,Long Apung
WAQM,Bandar Udara Robert Atty Bessing
WARE,Noto Hadinegoro - Jember
WATA,A.A. Bere Talo / Atambua
WATB,SOA - Bajawa
WATE,H. Hasan Aroeboesman - Ende
WATK,Tambolaka - Sumba Barat
WATW,Wunopito - Lembata
WAWW,Haluoleo - Kendari
WICA,Kertajati
WICD,Cakrabhuwana / Penggung - Cirebon
WICM,Wiriadinata - Cibeureum Tasikmalaya
WICS,Suryadarma - Kalijati Subang
WIDO,Ranai - Natuna
WIEE,Minangkabau International Airport - Padang
WIET,LANUD Sutan Sjahrir
WIGM,Mukomuko
WIHH,Halim Perdana Kusuma - Jakarta
WILM,Astra Ksetra - Lampung
WIOI,Singkawang II - Sanggau Ledo Kalbar
